team            , session_title, player_name                   , position             , distance_km, sprint_distance_m, duration_min, distance_in_speed_zone_1_km, distance_in_speed_zone_2_km, distance_in_speed_zone_3_km, distance_in_speed_zone_4_km, distance_in_speed_zone_5_km, top_speed, distance_per_min, position_group
Lugazi FC       , MD20         , Muhammed Gift Lubega          , Defenders            ,      5.3191,           757.288,  97.03333333,                      0.6704,                      2.1181,                      1.7733,                      0.6639, 0.0934                     ,   28.0402,      54.81724493, Defenders
Lugazi FC       , MD20         , Paul Wasswa                   , Wide Defenders       ,      8.5646,           267.083,  97.03333333,                      1.1417,                      4.9466,                      2.2092,                      0.2664, 7.00E-04                   ,   24.3202,      88.26451391, Wide Defenders
Lugazi FC       , MD20         , Sam Ssemugugu                 , Forward              ,      7.0801,          1221.502,  97.03333333,                      0.7101,                      3.2883,                      1.8601,                      0.8679, 0.3537                     ,   32.8643,      72.96564754, Forward
Lugazi FC       , MD20         , SSENOGA HUSSEIN               , Attacking Midfielders,      6.6546,           525.027,  97.03333333,                      0.6873,                      3.422 ,                      2.0202,                      0.4946, 0.0304                     ,   27.8242,      68.58055651, Attacking Midfielders
Lugazi FC       , MD20         , Yusuf Sharif Saaka            , Wide Defenders       ,     10.1796,          1218.445,  97.03333333,                      0.9363,                      4.6474,                      3.3774,                      1.109 , 0.1095                     ,   30.5522,     104.9082789 , Wide Defenders
Lugazi FC       , MD21         , Abdul Kalanzi                 , Central Midfielders  ,      7.8967,           831.19 ,  92.9       ,                      0.5149,                      3.4546,                      3.096 ,                      0.8132, 0.018                      ,   25.9202,      85.00215285, Central Midfielders
Lugazi FC       , MD21         , Ali Arshavin Bayo             , Central Midfielders  ,     11.1645,          1296.64 ,  92.9       ,                      0.7336,                      4.8437,                      4.2906,                      1.242 , 0.0547                     ,   29.2002,     120.1776103 , Central Midfielders
Lugazi FC       , MD21         , AVEMAH SHAFIQ                 , Forward              ,      2.4386,            95.606,  92.9       ,                      0.2492,                      1.0795,                      1.0142,                      0.0956, 0                          ,   23.6962,      26.24973089, Forward
Lugazi FC       , MD21         , Ayiko Richard                 , Defenders            ,      9.5124,           786.708,  92.9       ,                      0.8115,                      4.9298,                      2.9844,                      0.6478, 0.1389                     ,   30.6642,     102.393972  , Defenders
Lugazi FC       , MD21         , Birungi Alvin Twiine          , Forward              ,      5.4677,           543.211,  92.9       ,                      0.4347,                      2.9747,                      1.5151,                      0.4673, 0.0759                     ,   31.5043,      58.85575888, Forward
Lugazi FC       , MD21         , Derrick Mwanje                , Attacking Midfielders,      8.9641,           566.937,  92.9       ,                      0.678 ,                      4.5964,                      3.1227,                      0.5488, 0.0181                     ,   26.8162,      96.4919268 , Attacking Midfielders
Lugazi FC       , MD21         , Emmanuel Obua                 , Wide Defenders       ,      5.6435,           762.389,  92.9       ,                      0.4565,                      2.3369,                      2.0878,                      0.635 , 0.1274                     ,   30.9602,      60.74811625, Wide Defenders
Lugazi FC       , MD21         , Freedom Mungudit              , Wide Midfielders     ,      4.2572,           431.568,  92.9       ,                      0.6193,                      2.3866,                      0.8198,                      0.326 , 0.1056                     ,   32.3203,      45.82561895, Wide Midfielders
